lens_type,power,lens_index,coating,store_type,rush_order,inventory_available,queue_depth,machine_load,utilization_percent,qc_failures,completion_hours
Bifocal,-0.46,1.67,Blue Cut,Retail,0,1,23,78,60,0,167.08
Progressive,-1.3,1.56,Photochromic,Franchise,0,1,14,37,79,0,120.76
Progressive,-4.16,1.56,Standard,Hospital,0,1,0,20,68,0,47.53
Single Vision,1.91,1.74,Standard,Franchise,0,0,32,64,99,2,277.59
Single Vision,-6.89,1.56,Blue Cut,Hospital,0,1,10,61,31,3,132.11
Progressive,3.15,1.67,Standard,Hospital,1,1,26,62,80,2,179.06
Single Vision,-1.21,1.56,Photochromic,Franchise,0,0,30,13,96,2,242.47
Progressive,-5.63,1.67,Standard,Retail,0,1,30,37,68,4,212.18
Single Vision,1.17,1.50,Photochromic,Hospital,0,1,36,79,73,4,265.76
Bifocal,-5.05,1.50,Standard,Hospital,0,0,3,20,69,4,170.34
Bifocal,-3.02,1.67,Standard,Retail,0,1,34,41,74,2,202.25
Single Vision,-6.71,1.67,Standard,Hospital,1,0,23,46,25,0,200.39
Progressive,2.93,1.56,Standard,Hospital,0,1,9,98,91,0,135.88
Progressive,3.47,1.56,Blue Cut,Franchise,0,1,36,89,87,1,221.7
Progressive,1.43,1.67,Standard,Hospital,0,1,7,94,91,1,133.82
Bifocal,-2.06,1.56,Photochromic,Retail,0,0,26,54,22,2,273.84
Progressive,-3.11,1.50,Standard,Retail,0,1,3,63,73,1,101.38
Single Vision,-4.84,1.67,Photochromic,Retail,0,0,18,69,32,4,263.03
Single Vision,-2.38,1.50,Blue Cut,Hospital,1,1,29,17,65,2,143.55
Progressive,2.81,1.67,Photochromic,Hospital,0,1,11,53,58,1,133.33
Progressive,-5.24,1.56,Blue Cut,Hospital,0,1,11,51,21,4,156.76
Single Vision,-4.25,1.56,Standard,Retail,0,0,30,65,98,3,280.18
Progressive,2.01,1.56,Photochromic,Retail,1,0,9,41,24,4,228.8
Single Vision,-6.59,1.50,Photochromic,Hospital,1,0,27,86,46,2,271.2
Bifocal,2.8,1.50,Blue Cut,Retail,1,0,35,50,74,2,280.57
Progressive,1.6,1.67,Blue Cut,Hospital,0,1,9,50,63,1,115.98
Single Vision,3.1,1.56,Blue Cut,Hospital,0,0,15,83,48,1,224.55
Progressive,1.49,1.67,Photochromic,Franchise,0,1,31,63,61,0,191.8
Single Vision,-0.83,1.67,Photochromic,Hospital,1,1,38,66,47,4,252.69
Progressive,-0.13,1.67,Blue Cut,Hospital,1,1,15,63,71,0,121.82
Single Vision,-1.05,1.67,Photochromic,Retail,0,1,15,78,88,3,165.98
Single Vision,-0.16,1.67,Standard,Retail,0,0,28,48,90,4,271.2
Single Vision,0.76,1.50,Photochromic,Retail,0,0,33,56,83,2,282.9
Single Vision,2.04,1.74,Standard,Retail,1,1,25,56,59,4,196.22
Single Vision,-7.36,1.67,Standard,Franchise,1,1,8,73,60,3,122.9
Single Vision,-0.75,1.50,Standard,Franchise,1,0,9,37,35,2,179.66
Single Vision,-4.33,1.50,Standard,Hospital,0,1,15,38,98,4,146.71
Progressive,-3.65,1.74,Blue Cut,Hospital,1,0,15,33,40,2,222.12
Progressive,-4.05,1.67,Standard,Hospital,1,1,23,59,60,0,138.67
Progressive,-3.86,1.56,Photochromic,Retail,1,1,22,82,78,1,182.79
Progressive,-1.48,1.74,Photochromic,Retail,0,0,3,75,84,1,209.17
Progressive,1.24,1.56,Standard,Retail,0,0,8,32,32,0,164.4
Single Vision,3.84,1.56,Blue Cut,Retail,0,1,5,86,54,4,148.67
Progressive,-5.66,1.56,Standard,Hospital,0,0,14,59,75,2,221.44
Single Vision,-7.76,1.56,Standard,Franchise,0,0,11,53,99,0,176.44
Single Vision,-1.72,1.67,Standard,Retail,0,1,1,89,74,2,110.53
Progressive,-4.35,1.74,Photochromic,Retail,1,1,39,68,66,4,285.82
Progressive,-3.09,1.67,Standard,Franchise,0,0,10,64,66,1,199.96
Progressive,2.99,1.74,Standard,Franchise,1,0,14,97,23,1,241.35
Single Vision,-5.14,1.67,Blue Cut,Retail,0,0,18,17,50,4,226.42
Single Vision,-4.8,1.67,Photochromic,Franchise,1,0,7,50,96,2,185.66
Single Vision,0.39,1.50,Standard,Hospital,1,1,22,18,85,2,130.74
Progressive,-1.34,1.67,Photochromic,Retail,1,0,23,87,88,3,289.71
Progressive,-2.86,1.50,Standard,Franchise,0,1,4,70,80,3,142.18
Bifocal,0.5,1.74,Standard,Retail,1,0,7,29,61,1,177.68
Single Vision,-4.81,1.74,Photochromic,Retail,0,0,8,91,42,4,259.9
Single Vision,-4.15,1.74,Blue Cut,Retail,0,0,25,50,98,2,256.78
Bifocal,1.97,1.67,Blue Cut,Franchise,0,0,3,96,86,3,214.89
Single Vision,3.55,1.67,Blue Cut,Retail,0,1,9,15,20,1,76.66
Progressive,-5.82,1.56,Standard,Hospital,0,1,25,10,39,4,182.5
Single Vision,-7.24,1.56,Photochromic,Hospital,1,0,36,33,29,0,242.0
Progressive,-4.2,1.67,Blue Cut,Franchise,0,1,38,12,22,0,178.77
Bifocal,-1.91,1.74,Standard,Franchise,0,0,26,93,38,4,317.68
Single Vision,-3.24,1.50,Standard,Hospital,0,1,37,21,93,4,212.87
Single Vision,-2.93,1.56,Photochromic,Hospital,1,0,25,84,48,2,266.91
Single Vision,-5.92,1.56,Blue Cut,Franchise,0,1,37,50,94,4,232.93
Single Vision,-6.92,1.56,Blue Cut,Hospital,0,1,32,78,97,2,203.66
Single Vision,-4.66,1.50,Standard,Hospital,0,0,33,58,36,1,270.7
Progressive,-2.03,1.50,Standard,Retail,0,1,21,57,32,0,147.57
Single Vision,-3.87,1.67,Standard,Hospital,0,1,9,69,57,2,118.84
Progressive,-5.33,1.67,Blue Cut,Hospital,0,1,2,32,92,0,64.65
Single Vision,-5.09,1.67,Blue Cut,Hospital,0,0,23,28,89,0,199.09
Single Vision,-4.25,1.56,Standard,Retail,0,1,31,49,30,1,168.45
Single Vision,3.24,1.67,Blue Cut,Retail,0,1,39,11,96,1,181.37
Single Vision,2.26,1.67,Standard,Retail,1,1,8,15,38,0,54.21
Single Vision,-4.06,1.56,Photochromic,Franchise,0,1,1,12,25,3,87.39
Single Vision,-0.09,1.56,Blue Cut,Retail,1,1,28,84,80,2,185.39
Progressive,-1.89,1.74,Standard,Franchise,0,1,28,24,69,3,195.58
Bifocal,3.3,1.50,Standard,Retail,0,1,38,69,68,4,251.51
Single Vision,1.76,1.56,Blue Cut,Hospital,0,1,11,26,40,4,128.22
Progressive,0.11,1.56,Standard,Retail,0,1,24,69,38,3,198.65
Single Vision,-1.52,1.67,Standard,Franchise,1,0,35,36,51,0,247.28
Single Vision,-2.09,1.56,Photochromic,Franchise,0,0,11,76,45,2,228.37
Progressive,-5.28,1.56,Photochromic,Retail,0,0,18,93,78,2,273.31
Single Vision,1.65,1.50,Standard,Franchise,1,1,1,14,56,0,29.45
Single Vision,-1.63,1.67,Blue Cut,Retail,0,1,23,51,83,1,150.31
Progressive,-1.26,1.67,Photochromic,Franchise,0,1,11,30,24,0,98.59
Single Vision,3.93,1.50,Standard,Franchise,0,1,8,30,73,4,118.75
Single Vision,-1.14,1.50,Standard,Franchise,0,1,39,27,43,4,222.1
Single Vision,-1.99,1.74,Standard,Retail,0,0,14,85,46,4,267.56
Single Vision,-6.75,1.56,Standard,Retail,0,1,6,50,26,4,122.31
Single Vision,-6.44,1.56,Blue Cut,Retail,1,1,27,50,84,4,190.21
Single Vision,-1.53,1.50,Standard,Hospital,1,1,22,54,41,0,122.34
Progressive,-4.62,1.56,Standard,Franchise,1,0,31,66,61,3,295.78
Single Vision,-7.75,1.56,Photochromic,Franchise,0,1,19,93,39,2,169.48
Single Vision,-1.72,1.56,Standard,Retail,0,1,9,85,43,0,107.68
Progressive,-1.37,1.74,Standard,Franchise,0,0,32,67,22,1,296.51
Bifocal,-6.57,1.67,Blue Cut,Hospital,0,1,39,69,89,2,231.17
Progressive,1.04,1.74,Blue Cut,Hospital,1,1,19,83,88,1,173.12
Progressive,-6.74,1.67,Standard,Retail,1,0,32,95,37,2,304.9
Single Vision,-3.42,1.50,Standard,Franchise,1,1,10,81,84,1,109.34
Bifocal,2.96,1.74,Standard,Franchise,0,0,27,46,80,2,267.8
Progressive,-6.44,1.56,Blue Cut,Hospital,0,1,37,95,84,2,251.5
Progressive,-1.41,1.67,Standard,Retail,0,0,3,50,79,2,192.91
Single Vision,-1.56,1.56,Standard,Hospital,0,0,35,99,43,1,292.88
Single Vision,-4.56,1.50,Blue Cut,Franchise,0,0,18,35,69,0,188.49
Single Vision,2.44,1.67,Standard,Retail,0,0,0,51,35,0,125.89
Single Vision,1.26,1.50,Photochromic,Hospital,1,1,24,61,93,1,154.25
Single Vision,3.77,1.67,Standard,Retail,0,1,24,89,60,4,195.85
Single Vision,-6.1,1.67,Photochromic,Retail,1,0,6,99,95,1,201.95
Bifocal,3.53,1.56,Blue Cut,Retail,1,0,9,59,50,2,191.47
Bifocal,-3.6,1.50,Photochromic,Retail,1,1,1,76,75,2,106.51
Single Vision,2.41,1.67,Photochromic,Franchise,0,1,25,99,39,1,194.09
Single Vision,-2.24,1.56,Blue Cut,Hospital,1,0,25,81,26,4,276.7
Single Vision,-4.7,1.67,Photochromic,Hospital,0,1,12,84,26,2,152.9
Progressive,3.53,1.56,Standard,Retail,0,1,14,60,93,1,130.95
Single Vision,-0.49,1.56,Standard,Retail,0,1,16,83,43,4,180.38
Progressive,0.2,1.67,Blue Cut,Hospital,0,1,25,75,67,4,214.7
Bifocal,-6.61,1.74,Blue Cut,Franchise,0,1,18,88,24,0,157.36
Single Vision,-0.01,1.67,Standard,Franchise,0,1,9,40,56,3,117.68
Bifocal,-7.75,1.74,Standard,Retail,1,1,33,54,95,3,224.51
Single Vision,-2.38,1.50,Standard,Hospital,0,0,25,40,50,3,264.97
Single Vision,0.41,1.67,Blue Cut,Hospital,0,0,37,62,69,3,302.56
Bifocal,1.58,1.56,Standard,Hospital,1,1,17,40,87,0,106.11
Progressive,-0.21,1.67,Photochromic,Retail,0,1,21,38,84,3,179.49
Progressive,3.7,1.67,Photochromic,Retail,0,0,16,62,48,2,249.4
Bifocal,-7.64,1.56,Standard,Retail,0,1,31,10,70,0,141.74
Progressive,-1.04,1.50,Photochromic,Hospital,1,1,7,35,79,3,120.26
Progressive,-6.14,1.56,Blue Cut,Retail,0,0,6,64,76,0,169.23
Single Vision,-2.01,1.67,Standard,Hospital,1,1,0,27,30,2,55.89
Progressive,0.98,1.56,Standard,Hospital,0,0,27,24,23,3,270.5
Bifocal,0.16,1.74,Blue Cut,Hospital,0,0,14,67,79,3,244.58
Single Vision,-7.68,1.56,Photochromic,Franchise,0,1,8,84,20,2,136.77
Single Vision,3.61,1.67,Standard,Hospital,0,0,37,71,95,2,296.95
Progressive,-0.47,1.74,Blue Cut,Hospital,0,1,17,20,42,0,122.57
Single Vision,1.33,1.74,Standard,Retail,0,1,15,76,37,0,129.9
Single Vision,-7.38,1.74,Blue Cut,Retail,0,1,37,84,80,2,240.54
Single Vision,-3.54,1.67,Blue Cut,Franchise,0,1,28,35,80,2,168.82
Progressive,-0.4,1.67,Standard,Retail,1,1,20,29,36,3,150.26
Single Vision,-2.15,1.56,Standard,Franchise,0,1,14,92,31,4,175.83
Bifocal,-7.06,1.56,Blue Cut,Franchise,0,0,20,68,98,3,264.41
Single Vision,-5.45,1.67,Blue Cut,Franchise,0,1,21,29,56,0,121.07
Single Vision,-5.81,1.50,Blue Cut,Retail,0,0,34,61,41,2,286.45
Single Vision,-3.62,1.50,Blue Cut,Hospital,0,1,32,34,69,1,171.09
Progressive,1.83,1.74,Standard,Hospital,0,0,19,88,72,4,295.65
Progressive,3.15,1.67,Photochromic,Franchise,0,0,0,59,68,2,192.77
Progressive,-3.6,1.50,Photochromic,Franchise,1,1,31,69,54,3,225.11
Single Vision,1.83,1.67,Photochromic,Retail,0,1,9,10,93,1,87.54
Bifocal,-2.16,1.67,Photochromic,Hospital,1,0,26,21,52,0,210.01
Bifocal,0.26,1.67,Blue Cut,Franchise,0,0,3,53,37,1,155.76
Progressive,-1.84,1.56,Blue Cut,Franchise,0,1,25,23,58,0,143.68
Bifocal,-0.59,1.67,Standard,Hospital,0,0,32,67,84,3,300.72
Single Vision,-5.68,1.67,Photochromic,Retail,0,1,19,68,31,4,195.97
Progressive,-7.1,1.67,Standard,Retail,0,0,25,17,76,2,246.32
Single Vision,-7.49,1.67,Standard,Franchise,1,1,13,67,94,2,124.92
Progressive,-5.65,1.67,Blue Cut,Retail,0,1,6,84,83,3,149.87
Single Vision,0.55,1.50,Photochromic,Retail,0,1,31,60,88,2,198.57
Single Vision,0.5,1.67,Standard,Hospital,0,1,31,38,71,0,161.86
Single Vision,-1.14,1.56,Blue Cut,Retail,0,1,7,53,72,4,130.31
Single Vision,-6.75,1.56,Blue Cut,Franchise,0,0,15,30,76,2,202.98
Single Vision,-0.39,1.74,Blue Cut,Hospital,0,0,20,51,39,2,250.89
Progressive,-7.55,1.56,Photochromic,Franchise,0,0,4,86,46,1,209.36
Progressive,0.59,1.67,Standard,Retail,0,1,24,78,70,1,170.92
Single Vision,-4.84,1.74,Blue Cut,Hospital,1,0,12,96,20,2,234.43
Single Vision,-0.69,1.67,Photochromic,Hospital,0,1,34,84,23,4,250.58
Single Vision,1.74,1.50,Blue Cut,Retail,0,0,14,18,79,4,210.19
Single Vision,3.9,1.56,Blue Cut,Franchise,0,1,27,96,43,0,178.17
Single Vision,-7.68,1.56,Standard,Retail,0,0,17,92,61,4,265.68
Bifocal,2.47,1.50,Standard,Hospital,0,1,22,46,91,1,149.43
Progressive,0.99,1.56,Standard,Hospital,0,0,12,66,79,1,205.8
Single Vision,3.83,1.56,Blue Cut,Hospital,0,1,26,43,95,3,170.91
Progressive,0.76,1.74,Standard,Retail,0,0,16,84,34,3,270.47
Progressive,2.1,1.56,Standard,Franchise,0,1,7,34,23,4,122.41
Single Vision,1.98,1.50,Blue Cut,Retail,0,1,32,59,73,2,193.56
Single Vision,2.66,1.56,Photochromic,Hospital,1,0,39,49,62,3,310.56
Single Vision,0.56,1.67,Photochromic,Franchise,0,1,1,36,22,4,112.24
Single Vision,-6.21,1.67,Standard,Hospital,0,1,30,98,67,1,199.58
Progressive,-5.29,1.67,Photochromic,Franchise,0,1,37,14,60,1,197.26
Single Vision,2.5,1.56,Blue Cut,Franchise,1,1,9,40,37,0,69.69
Single Vision,-4.9,1.67,Photochromic,Retail,0,1,0,36,41,3,93.92
Single Vision,-4.23,1.56,Photochromic,Hospital,0,0,33,66,48,0,264.08
Single Vision,-7.31,1.56,Standard,Hospital,1,0,22,22,57,1,204.27
Single Vision,-2.58,1.56,Photochromic,Retail,0,1,9,89,84,3,154.59
Progressive,-4.6,1.74,Standard,Hospital,0,1,23,35,55,2,175.09
Single Vision,3.59,1.67,Standard,Retail,0,0,9,31,29,1,171.5
Bifocal,-3.62,1.56,Standard,Retail,0,1,8,92,38,1,115.22
Single Vision,-7.57,1.74,Standard,Retail,0,1,30,46,87,0,172.91
Single Vision,-1.51,1.74,Standard,Retail,1,0,23,81,90,1,251.4
Single Vision,3.29,1.50,Standard,Franchise,0,0,15,36,82,0,173.39
Single Vision,-3.21,1.67,Blue Cut,Retail,0,1,25,50,50,2,168.8
Single Vision,-0.98,1.56,Standard,Retail,1,1,36,31,66,3,193.08
Single Vision,-6.58,1.56,Standard,Franchise,0,0,17,97,32,3,251.99
Progressive,-4.96,1.50,Standard,Retail,0,0,37,57,27,3,319.62
Single Vision,-7.44,1.50,Photochromic,Retail,1,1,16,24,30,2,122.16
Single Vision,2.0,1.50,Blue Cut,Retail,0,1,15,43,59,2,128.78
Single Vision,-0.59,1.56,Standard,Retail,0,0,38,47,25,1,279.11
Progressive,-2.66,1.67,Standard,Franchise,0,0,7,60,61,0,182.56
Single Vision,3.18,1.67,Photochromic,Retail,0,0,11,32,71,3,203.88
Single Vision,-7.25,1.56,Blue Cut,Retail,0,1,24,21,67,4,173.65
Single Vision,-1.8,1.50,Standard,Hospital,0,0,12,62,94,1,193.13
Progressive,-7.82,1.50,Standard,Hospital,1,1,18,67,34,1,148.2
Progressive,1.06,1.56,Photochromic,Retail,0,0,32,22,73,2,287.41
Single Vision,1.01,1.67,Standard,Retail,1,0,0,77,85,3,173.9
Single Vision,-2.88,1.50,Standard,Retail,0,1,28,27,49,1,150.15
Single Vision,1.54,1.56,Standard,Franchise,1,0,26,75,85,0,235.2
Progressive,-5.33,1.56,Standard,Franchise,0,1,25,32,68,1,156.01
Single Vision,-3.09,1.67,Blue Cut,Hospital,0,0,7,34,51,1,164.9
Bifocal,1.84,1.56,Blue Cut,Retail,0,0,7,40,94,3,199.03
Single Vision,-0.4,1.56,Photochromic,Retail,0,1,22,67,88,2,179.28
Single Vision,2.13,1.67,Photochromic,Hospital,0,0,25,51,49,0,231.19
Bifocal,-4.35,1.56,Standard,Franchise,0,0,36,41,20,0,263.96
Bifocal,1.31,1.50,Standard,Franchise,0,1,14,33,80,4,162.01
Single Vision,2.62,1.56,Standard,Retail,0,1,16,65,22,4,165.53
Progressive,-1.66,1.67,Photochromic,Retail,0,1,23,23,96,3,190.08
Single Vision,-0.64,1.56,Standard,Retail,0,0,31,70,74,4,306.74
Single Vision,-7.64,1.67,Standard,Retail,0,0,33,51,36,4,302.69
Progressive,-2.94,1.74,Standard,Retail,0,1,9,43,43,4,159.65
Progressive,2.3,1.50,Standard,Retail,0,1,29,73,35,3,222.37
Progressive,-7.52,1.50,Blue Cut,Hospital,1,0,0,38,62,1,148.08
Progressive,2.75,1.67,Photochromic,Franchise,0,1,31,75,89,1,219.06
Bifocal,-5.26,1.56,Standard,Hospital,0,1,25,62,57,0,167.64
Bifocal,-0.43,1.67,Standard,Retail,0,1,16,24,35,0,103.03
Single Vision,-6.15,1.74,Photochromic,Retail,0,0,10,66,38,3,237.83
Bifocal,-1.13,1.50,Blue Cut,Franchise,0,0,35,55,27,0,266.58
Bifocal,2.72,1.50,Standard,Hospital,0,1,33,23,72,3,194.34
Bifocal,-4.18,1.56,Standard,Franchise,0,1,26,94,56,4,234.77
Single Vision,-6.55,1.50,Photochromic,Hospital,0,1,2,86,58,2,119.19
Single Vision,-4.31,1.74,Blue Cut,Franchise,0,0,21,70,20,2,257.29
Progressive,-2.21,1.56,Blue Cut,Retail,0,1,14,34,93,3,142.5
Single Vision,-4.32,1.74,Standard,Hospital,0,1,36,55,74,4,248.0
Progressive,1.91,1.74,Standard,Retail,0,1,17,79,53,1,174.07
Single Vision,-2.5,1.50,Blue Cut,Franchise,1,1,36,56,64,0,175.6
Bifocal,2.76,1.74,Standard,Franchise,0,1,21,17,88,3,166.48
Single Vision,-4.57,1.67,Standard,Retail,0,1,13,60,84,2,128.74
Single Vision,-1.58,1.74,Blue Cut,Retail,0,0,30,34,85,3,278.71
Progressive,-5.59,1.67,Blue Cut,Hospital,1,1,26,67,43,2,185.61
Progressive,-2.71,1.56,Standard,Franchise,0,1,6,34,43,4,117.19
Bifocal,1.1,1.56,Blue Cut,Hospital,0,1,10,94,39,4,170.02
Bifocal,-6.02,1.50,Standard,Retail,0,0,16,42,75,4,244.18
Single Vision,-2.28,1.67,Blue Cut,Franchise,0,0,34,78,69,4,320.05
Progressive,-2.97,1.74,Standard,Franchise,1,0,13,32,78,3,221.26
Single Vision,-4.3,1.56,Standard,Franchise,1,1,34,20,90,0,148.43
Progressive,-2.21,1.74,Standard,Franchise,0,0,27,28,20,1,255.36
Single Vision,-0.34,1.50,Standard,Hospital,0,1,37,78,98,1,207.7
Single Vision,3.4,1.67,Blue Cut,Franchise,0,0,18,44,47,2,220.02
Single Vision,-6.47,1.56,Photochromic,Retail,1,1,11,67,58,3,135.97
Bifocal,-4.79,1.56,Blue Cut,Hospital,0,1,27,43,76,2,169.02
Single Vision,-7.9,1.74,Standard,Franchise,0,0,25,32,90,1,233.51
Single Vision,-1.36,1.67,Photochromic,Retail,0,1,6,69,28,3,121.36
Single Vision,-4.21,1.50,Photochromic,Hospital,0,0,7,33,32,2,187.29
Single Vision,-1.18,1.56,Blue Cut,Retail,0,1,30,57,51,0,161.5
Progressive,0.95,1.67,Photochromic,Franchise,1,1,3,74,21,4,139.05
Single Vision,-6.48,1.67,Standard,Franchise,1,1,14,88,56,4,159.18
Single Vision,-7.68,1.50,Blue Cut,Hospital,0,1,16,78,34,2,150.01
Single Vision,-3.36,1.50,Blue Cut,Franchise,0,1,3,25,35,4,98.35
Progressive,-5.38,1.56,Photochromic,Franchise,0,1,14,27,23,4,156.37
Bifocal,-7.33,1.50,Photochromic,Retail,1,1,27,86,54,0,178.99
Single Vision,-3.15,1.67,Blue Cut,Retail,0,1,3,75,36,3,108.76
Progressive,2.24,1.67,Standard,Retail,1,1,1,67,57,2,97.4
Single Vision,-4.52,1.50,Photochromic,Hospital,0,1,21,58,83,3,174.67
Bifocal,-1.17,1.56,Standard,Franchise,0,0,19,46,71,1,221.49
Single Vision,2.81,1.67,Standard,Retail,1,0,36,33,48,0,247.82
Progressive,0.58,1.67,Standard,Hospital,0,0,21,50,95,0,228.91
Progressive,-6.13,1.74,Standard,Hospital,0,0,26,17,72,2,256.4
Single Vision,-5.12,1.56,Standard,Retail,0,1,8,86,80,2,128.64
Single Vision,-4.45,1.67,Standard,Franchise,1,1,28,67,55,4,200.28
Single Vision,2.68,1.67,Photochromic,Retail,0,1,33,99,34,0,212.79
Single Vision,2.16,1.67,Blue Cut,Retail,0,1,3,37,39,4,101.09
Bifocal,-3.73,1.50,Standard,Franchise,0,0,33,90,39,1,301.03
Single Vision,-3.5,1.67,Photochromic,Franchise,0,1,5,41,82,1,86.04
Bifocal,3.71,1.56,Blue Cut,Hospital,1,1,16,32,44,4,154.82
Progressive,-2.79,1.67,Standard,Hospital,0,0,9,26,37,4,209.41
Single Vision,2.25,1.67,Standard,Hospital,1,1,24,60,60,0,132.77
Single Vision,2.39,1.50,Photochromic,Hospital,0,1,28,91,31,4,238.11
Single Vision,-5.16,1.74,Blue Cut,Retail,0,1,15,21,74,3,140.85
Bifocal,-0.49,1.56,Blue Cut,Franchise,0,1,20,54,58,0,135.03
Progressive,-1.42,1.50,Standard,Retail,0,1,5,55,89,4,130.57
Single Vision,1.08,1.67,Standard,Franchise,0,0,30,21,61,3,255.23
Single Vision,0.68,1.56,Standard,Retail,1,0,15,49,87,3,214.7
Progressive,-1.57,1.67,Photochromic,Retail,0,0,27,69,60,0,261.15
Single Vision,1.51,1.50,Standard,Hospital,0,0,0,20,39,0,120.95
Single Vision,-0.0,1.67,Blue Cut,Retail,0,1,4,55,71,0,62.72
Single Vision,-0.1,1.67,Standard,Retail,0,1,8,74,49,3,127.09
Bifocal,0.73,1.74,Photochromic,Franchise,0,1,24,20,27,1,161.7
Progressive,-2.58,1.50,Blue Cut,Hospital,1,0,7,62,73,2,199.1
Progressive,-7.22,1.67,Blue Cut,Hospital,0,1,30,40,29,3,199.75
Single Vision,-0.51,1.74,Blue Cut,Franchise,0,1,9,81,47,4,169.23
Single Vision,2.4,1.56,Standard,Hospital,0,1,9,41,72,2,109.72
Progressive,0.03,1.67,Photochromic,Hospital,0,1,15,99,83,3,196.18
Single Vision,-0.03,1.74,Blue Cut,Franchise,0,1,22,77,56,4,211.39
Bifocal,2.54,1.50,Standard,Hospital,0,1,37,19,60,3,203.27
Progressive,-6.89,1.50,Blue Cut,Franchise,0,1,2,72,20,2,113.98
Progressive,-2.19,1.56,Standard,Franchise,0,0,34,48,61,1,287.8
Progressive,-0.92,1.50,Blue Cut,Retail,0,0,33,84,28,2,311.91
Progressive,-4.05,1.67,Standard,Hospital,0,1,19,67,79,2,164.47
Single Vision,1.19,1.50,Photochromic,Hospital,0,0,15,59,45,4,248.5
Bifocal,1.84,1.67,Standard,Franchise,0,0,22,50,91,3,250.7
Single Vision,1.78,1.67,Standard,Franchise,0,0,26,71,26,0,240.1
Single Vision,-0.67,1.67,Photochromic,Hospital,0,1,9,82,65,4,157.43
Single Vision,-4.39,1.67,Photochromic,Franchise,0,1,10,65,55,1,126.07
Progressive,-0.47,1.67,Standard,Franchise,0,1,27,23,71,1,154.11
Single Vision,1.78,1.67,Blue Cut,Franchise,0,0,38,64,37,1,282.69
Progressive,-4.53,1.50,Blue Cut,Retail,1,1,37,92,83,3,253.91
Single Vision,-2.44,1.67,Photochromic,Hospital,1,1,33,44,88,0,157.79
Single Vision,-6.63,1.56,Blue Cut,Franchise,0,1,11,27,76,4,129.53
Single Vision,-7.7,1.67,Photochromic,Franchise,0,1,27,53,84,1,176.02
Single Vision,2.15,1.56,Photochromic,Retail,1,1,36,70,54,1,207.67
Progressive,2.3,1.56,Standard,Retail,0,0,20,70,58,1,245.49
Single Vision,2.89,1.56,Blue Cut,Franchise,0,1,39,32,85,4,226.32
Single Vision,-0.61,1.56,Standard,Franchise,0,0,19,62,69,4,258.01
Bifocal,0.95,1.56,Blue Cut,Franchise,0,1,26,10,29,4,179.38
Single Vision,-7.24,1.50,Standard,Retail,0,0,38,55,58,1,284.24
Single Vision,-4.57,1.56,Blue Cut,Hospital,0,1,37,30,69,0,176.94
Progressive,-5.13,1.50,Photochromic,Franchise,0,1,6,80,54,2,141.27
Single Vision,-4.44,1.67,Standard,Retail,0,1,27,54,69,3,180.19
Progressive,-6.26,1.56,Photochromic,Hospital,0,1,37,61,49,2,238.17
Progressive,1.89,1.67,Photochromic,Franchise,0,0,6,93,80,2,234.93
Progressive,1.03,1.67,Blue Cut,Retail,1,1,29,95,40,0,195.22
Progressive,-2.38,1.56,Photochromic,Retail,0,0,31,75,53,3,321.7
Progressive,-2.19,1.56,Blue Cut,Retail,1,1,2,62,43,1,89.05
Single Vision,-5.41,1.50,Standard,Franchise,1,0,12,94,65,4,236.75
Single Vision,3.71,1.56,Blue Cut,Franchise,0,0,30,53,72,3,278.9
Single Vision,1.77,1.67,Blue Cut,Franchise,1,1,13,50,42,0,82.33
Progressive,-6.48,1.50,Photochromic,Retail,1,0,5,48,24,2,198.16
Single Vision,-6.4,1.50,Photochromic,Franchise,0,1,25,20,89,3,176.21
Progressive,-2.43,1.67,Standard,Retail,0,0,2,34,68,2,164.44
Single Vision,-7.37,1.56,Blue Cut,Hospital,0,1,3,52,96,3,104.27
Progressive,-4.54,1.67,Photochromic,Franchise,0,0,35,19,46,1,280.98
Single Vision,2.9,1.50,Standard,Franchise,0,1,24,38,51,2,156.98
Single Vision,-4.34,1.67,Standard,Franchise,0,0,20,66,30,2,240.4
Single Vision,-5.59,1.56,Standard,Franchise,1,1,9,93,54,0,106.75
Progressive,-7.61,1.67,Blue Cut,Franchise,0,1,35,73,62,1,225.95
Single Vision,0.9,1.67,Standard,Franchise,0,1,1,71,82,2,99.34
Progressive,-5.55,1.50,Standard,Hospital,0,0,26,74,64,3,290.72
Progressive,-5.42,1.67,Blue Cut,Retail,0,0,33,64,63,0,277.62
Single Vision,-3.26,1.50,Standard,Retail,0,1,36,30,37,4,216.72
Progressive,-4.54,1.67,Standard,Hospital,0,0,25,37,74,3,269.16
Single Vision,2.49,1.50,Standard,Franchise,1,1,10,13,39,1,67.27
Single Vision,-0.41,1.74,Standard,Retail,1,0,0,44,74,1,150.57
Progressive,-6.81,1.67,Photochromic,Franchise,1,0,14,49,34,1,217.4
Single Vision,-7.64,1.67,Standard,Hospital,0,0,36,71,24,3,309.3
Single Vision,-2.57,1.56,Blue Cut,Retail,0,0,36,50,82,4,306.9
Single Vision,-2.46,1.74,Photochromic,Franchise,0,1,17,75,76,0,148.19
Bifocal,-2.91,1.67,Standard,Retail,0,1,39,41,87,1,207.02
Single Vision,0.15,1.50,Standard,Hospital,0,0,21,31,25,3,231.92
